epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6599,0.9398,3.13044,1.24251,0.15983,0.52208,0.14784,0.11406,0.77797,inf,1.31299,0.0678684,0.000324561,0.000324561
2,43.1179,0.66797,1.66846,1.04283,0.11805,0.40235,0.16961,0.13879,0.69693,inf,1.19274,0.0348683,0.000657734,0.000657734
3,62.5652,0.6392,1.37391,1.0193,0.3586,0.5583,0.42344,0.37367,0.51085,3.4934,0.99762,0.00186745,0.00099026,0.00099026
4,81.9793,0.61914,1.26943,1.01839,0.6142,0.43069,0.47342,0.42996,0.45706,4.49509,0.98277,0.000997803,0.000997803,0.000997803
5,101.229,0.61693,1.13223,1.01015,0.53005,0.73987,0.66883,0.59706,0.51246,1.51522,0.97978,0.000996097,0.000996097,0.000996097
6,120.526,0.58116,1.04886,0.99344,0.62035,0.81444,0.74526,0.68256,0.41245,0.97235,0.9191,0.000993906,0.000993906,0.000993906
7,139.74,0.57342,1.00394,1.00019,0.55505,0.78283,0.71424,0.66337,0.38328,1.17619,0.8841,0.000991232,0.000991232,0.000991232
8,158.355,0.58674,0.98872,0.99235,0.66264,0.71214,0.76063,0.6918,0.43278,1.19068,0.89508,0.000988079,0.000988079,0.000988079
9,177.69,0.54268,0.91832,0.97152,0.6525,0.80316,0.82753,0.75933,0.38787,0.79522,0.87715,0.000984449,0.000984449,0.000984449
10,197.056,0.54616,0.9168,0.98023,0.61811,0.82715,0.79769,0.74752,0.37118,1.29226,0.87535,0.000980345,0.000980345,0.000980345
11,215.622,0.53022,0.87108,0.96121,0.74077,0.86509,0.86618,0.80487,0.37835,0.67346,0.87481,0.000975773,0.000975773,0.000975773
12,234.976,0.52988,0.85282,0.96344,0.656,0.92701,0.8526,0.80678,0.32872,0.76559,0.85986,0.000970736,0.000970736,0.000970736
13,254.183,0.50834,0.82849,0.95505,0.71204,0.91465,0.84903,0.79049,0.37012,0.69184,0.86814,0.000965239,0.000965239,0.000965239
14,272.867,0.50236,0.80382,0.94847,0.72741,0.9022,0.86636,0.82394,0.33389,0.64276,0.85205,0.000959289,0.000959289,0.000959289
15,292.244,0.50604,0.7853,0.9516,0.70045,0.89925,0.856,0.80003,0.36082,0.70097,0.85615,0.000952889,0.000952889,0.000952889
16,310.838,0.49609,0.74876,0.94082,0.72711,0.95221,0.87557,0.82478,0.34689,0.58803,0.85411,0.000946048,0.000946048,0.000946048
17,330.216,0.50148,0.75756,0.94469,0.746,0.97639,0.88445,0.84153,0.3231,0.53228,0.84758,0.000938772,0.000938772,0.000938772
18,350.276,0.49895,0.73297,0.94568,0.73851,0.94218,0.87384,0.81989,0.35391,0.56415,0.8591,0.000931067,0.000931067,0.000931067
19,368.873,0.48737,0.74019,0.94077,0.7593,0.98175,0.87738,0.84235,0.31111,0.51919,0.84348,0.000922942,0.000922942,0.000922942
20,388.103,0.49107,0.72483,0.93652,0.72777,0.96959,0.86629,0.81625,0.35274,0.53727,0.85621,0.000914405,0.000914405,0.000914405
21,406.717,0.47615,0.72062,0.93611,0.75257,0.97919,0.87677,0.82902,0.34854,0.51386,0.84882,0.000905463,0.000905463,0.000905463
22,426.416,0.47591,0.70289,0.93389,0.75385,0.94816,0.87501,0.83133,0.343,0.51079,0.85069,0.000896127,0.000896127,0.000896127
23,444.945,0.46808,0.6977,0.92703,0.76391,0.96919,0.88345,0.82671,0.38406,0.51072,0.86986,0.000886404,0.000886404,0.000886404
24,463.503,0.45793,0.67025,0.92277,0.7724,0.95372,0.87781,0.81792,0.37731,0.56217,0.86622,0.000876305,0.000876305,0.000876305
25,489.453,0.45293,0.66282,0.92339,0.75081,0.9872,0.88134,0.82322,0.39254,0.49862,0.87791,0.000865839,0.000865839,0.000865839
26,508.064,0.45496,0.66371,0.92339,0.75021,0.91757,0.8589,0.80579,0.35673,0.56708,0.85632,0.000855018,0.000855018,0.000855018
27,527.72,0.45913,0.66625,0.92711,0.76085,0.9779,0.87862,0.8376,0.31647,0.48225,0.84158,0.000843851,0.000843851,0.000843851
28,546.274,0.46485,0.65258,0.92925,0.76967,0.9623,0.87232,0.83341,0.32017,0.47359,0.84115,0.000832349,0.000832349,0.000832349
29,564.704,0.46233,0.65877,0.93253,0.76464,0.98216,0.88573,0.81634,0.44541,0.50001,0.89421,0.000820525,0.000820525,0.000820525
30,583.164,0.4526,0.63325,0.92284,0.76334,0.98958,0.8829,0.82202,0.38072,0.49134,0.86533,0.000808389,0.000808389,0.000808389
31,601.613,0.44506,0.65381,0.91606,0.78483,0.96819,0.88006,0.84353,0.30975,0.47441,0.83621,0.000795954,0.000795954,0.000795954
32,620.835,0.43633,0.63465,0.91381,0.76404,0.96098,0.88036,0.82483,0.35825,0.47969,0.85739,0.000783231,0.000783231,0.000783231
33,640.009,0.44067,0.62661,0.91731,0.76922,0.98261,0.88304,0.84839,0.28897,0.45929,0.82781,0.000770234,0.000770234,0.000770234
34,661.306,0.42654,0.61582,0.90441,0.75178,0.98885,0.87423,0.85363,0.24699,0.45589,0.81343,0.000756976,0.000756976,0.000756976
35,680.476,0.42857,0.61393,0.90802,0.77965,0.97525,0.8909,0.83989,0.34461,0.47755,0.84508,0.000743468,0.000743468,0.000743468
36,699.023,0.43859,0.62111,0.91913,0.77169,0.99392,0.8688,0.83466,0.31555,0.4619,0.83334,0.000729725,0.000729725,0.000729725
37,717.586,0.42323,0.61153,0.90601,0.76373,0.99057,0.86819,0.81595,0.35047,0.46308,0.85033,0.000715761,0.000715761,0.000715761
38,736.069,0.42359,0.62725,0.91015,0.78951,0.98572,0.88232,0.83653,0.34222,0.46694,0.84884,0.000701588,0.000701588,0.000701588
39,754.565,0.41934,0.62199,0.91032,0.76578,0.96167,0.87496,0.80621,0.40359,0.49979,0.87576,0.000687222,0.000687222,0.000687222
40,773.102,0.42435,0.62617,0.91281,0.7742,0.97976,0.88482,0.83484,0.34424,0.46395,0.8456,0.000672675,0.000672675,0.000672675
41,791.627,0.41845,0.60341,0.91192,0.7772,0.98792,0.89063,0.85882,0.29147,0.44036,0.8271,0.000657963,0.000657963,0.000657963
42,810.993,0.42633,0.60302,0.91161,0.76948,0.98835,0.87821,0.84792,0.308,0.45065,0.83023,0.000643101,0.000643101,0.000643101
43,829.43,0.40995,0.59729,0.89958,0.79065,0.97201,0.89475,0.87095,0.27097,0.43543,0.82228,0.000628101,0.000628101,0.000628101
44,848.76,0.4013,0.59083,0.90556,0.76768,0.99473,0.90277,0.86256,0.31784,0.46315,0.83569,0.000612981,0.000612981,0.000612981
45,867.293,0.40553,0.5988,0.9019,0.7822,0.99183,0.88308,0.84796,0.30335,0.44499,0.82972,0.000597754,0.000597754,0.000597754
46,885.877,0.40081,0.58347,0.90132,0.78554,0.97871,0.88152,0.84979,0.27969,0.42721,0.82434,0.000582435,0.000582435,0.000582435
47,904.407,0.41648,0.58759,0.9063,0.78447,0.9845,0.88238,0.8559,0.25949,0.43432,0.81519,0.00056704,0.00056704,0.00056704
48,923.643,0.4026,0.58256,0.89934,0.76251,0.9962,0.87132,0.8465,0.28196,0.44151,0.82133,0.000551584,0.000551584,0.000551584
49,942.188,0.40301,0.57771,0.9061,0.78067,0.9852,0.87313,0.843,0.28642,0.45583,0.82596,0.000536081,0.000536081,0.000536081
50,960.634,0.39023,0.57392,0.89256,0.78783,0.96931,0.88226,0.84734,0.31008,0.44247,0.82989,0.000520548,0.000520548,0.000520548
51,980.694,0.38887,0.55562,0.89735,0.78071,0.99411,0.88101,0.85128,0.31003,0.43456,0.82587,0.000505,0.000505,0.000505
52,1003.48,0.38937,0.54217,0.89708,0.78321,0.99081,0.87878,0.85521,0.2877,0.42145,0.81954,0.000489452,0.000489452,0.000489452
53,1025.69,0.38573,0.53926,0.88985,0.79006,0.99168,0.88072,0.8566,0.2785,0.42182,0.81944,0.000473919,0.000473919,0.000473919
54,1044.2,0.3861,0.55628,0.89455,0.79343,0.98767,0.88102,0.86042,0.25946,0.42579,0.81356,0.000458416,0.000458416,0.000458416
55,1063.26,0.38339,0.53915,0.88902,0.78708,0.98662,0.87421,0.85257,0.25727,0.42975,0.81402,0.00044296,0.00044296,0.00044296
56,1081.82,0.37488,0.54222,0.88914,0.78501,0.98541,0.88087,0.84889,0.30189,0.43116,0.82356,0.000427565,0.000427565,0.000427565
57,1101.8,0.37851,0.54437,0.89388,0.78276,0.98872,0.88414,0.8592,0.27551,0.42399,0.81874,0.000412246,0.000412246,0.000412246
58,1120.31,0.36982,0.53664,0.88972,0.78113,0.98606,0.89234,0.84322,0.35847,0.44017,0.84994,0.000397019,0.000397019,0.000397019
59,1138.84,0.3762,0.54916,0.89317,0.79489,0.98759,0.88239,0.8533,0.30552,0.42537,0.82784,0.000381899,0.000381899,0.000381899
60,1158.47,0.36181,0.52161,0.88556,0.77908,0.99217,0.88118,0.85531,0.27857,0.42766,0.81723,0.000366899,0.000366899,0.000366899
61,1177.05,0.36653,0.52752,0.88595,0.79301,0.96817,0.89384,0.8795,0.24786,0.42447,0.80651,0.000352037,0.000352037,0.000352037
62,1196.45,0.3716,0.54343,0.88104,0.79517,0.98616,0.88544,0.86229,0.27131,0.41604,0.81464,0.000337325,0.000337325,0.000337325
63,1214.93,0.36806,0.51827,0.88395,0.79818,0.98487,0.88032,0.86445,0.24712,0.4136,0.8064,0.000322778,0.000322778,0.000322778
64,1233.39,0.35633,0.50574,0.88369,0.78953,0.99066,0.88421,0.85909,0.28127,0.42163,0.82044,0.000308412,0.000308412,0.000308412
65,1251.88,0.35981,0.51679,0.88071,0.79062,0.98456,0.88057,0.86501,0.24504,0.40992,0.80674,0.000294239,0.000294239,0.000294239
66,1270.37,0.36206,0.51486,0.88483,0.7976,0.98487,0.87615,0.85972,0.23209,0.40979,0.80426,0.000280275,0.000280275,0.000280275
67,1288.93,0.34735,0.51455,0.87731,0.79574,0.98675,0.8708,0.84042,0.29454,0.42177,0.82536,0.000266532,0.000266532,0.000266532
68,1308.3,0.35052,0.51501,0.88219,0.78676,0.98851,0.86887,0.85551,0.23987,0.41164,0.80543,0.000253024,0.000253024,0.000253024
69,1326.77,0.35269,0.49903,0.88302,0.79668,0.98084,0.87322,0.86071,0.23142,0.41235,0.80379,0.000239766,0.000239766,0.000239766
70,1346.67,0.3487,0.5093,0.88094,0.79105,0.97759,0.87644,0.8499,0.27792,0.41222,0.81645,0.000226769,0.000226769,0.000226769
71,1365.19,0.35065,0.49829,0.88341,0.79019,0.98519,0.87837,0.85779,0.25013,0.4042,0.80842,0.000214046,0.000214046,0.000214046
72,1383.73,0.34029,0.49534,0.8746,0.79571,0.98611,0.87523,0.8563,0.26123,0.41144,0.81079,0.000201611,0.000201611,0.000201611
73,1402.22,0.33503,0.50202,0.87108,0.79272,0.97839,0.88573,0.87249,0.24982,0.41432,0.8056,0.000189475,0.000189475,0.000189475
74,1427.55,0.33866,0.48426,0.87915,0.8065,0.96842,0.89306,0.8815,0.22796,0.4082,0.80033,0.000177651,0.000177651,0.000177651
75,1446.78,0.33426,0.4933,0.87252,0.80169,0.97355,0.87878,0.86276,0.25339,0.41376,0.80847,0.000166149,0.000166149,0.000166149
76,1465.35,0.33521,0.48209,0.87311,0.79676,0.98152,0.88278,0.8709,0.22422,0.40611,0.79953,0.000154982,0.000154982,0.000154982
77,1483.89,0.32769,0.48941,0.87094,0.79569,0.98366,0.88153,0.86942,0.22683,0.40089,0.79965,0.000144161,0.000144161,0.000144161
78,1502.47,0.32576,0.48016,0.86425,0.80357,0.98399,0.88306,0.87045,0.21204,0.40426,0.79757,0.000133695,0.000133695,0.000133695
79,1527.57,0.32835,0.47924,0.86739,0.80401,0.98727,0.87852,0.86457,0.23335,0.39943,0.80116,0.000123596,0.000123596,0.000123596
80,1546.03,0.32665,0.46913,0.86845,0.79891,0.98514,0.8901,0.88008,0.21316,0.40192,0.79716,0.000113873,0.000113873,0.000113873
81,1564.47,0.32523,0.47186,0.8659,0.79199,0.98647,0.88724,0.87564,0.2257,0.4056,0.79902,0.000104537,0.000104537,0.000104537
82,1582.98,0.32312,0.47383,0.86977,0.80443,0.97653,0.88277,0.87335,0.21887,0.3993,0.79564,9.55951e-05,9.55951e-05,9.55951e-05
83,1601.46,0.32032,0.46886,0.86724,0.79906,0.98079,0.87354,0.86193,0.20707,0.39635,0.79463,8.70577e-05,8.70577e-05,8.70577e-05
84,1619.94,0.32124,0.48417,0.86728,0.79797,0.98463,0.88256,0.86942,0.21361,0.39799,0.7967,7.89327e-05,7.89327e-05,7.89327e-05
85,1638.35,0.31743,0.46794,0.86295,0.80007,0.9844,0.87814,0.86738,0.2153,0.39933,0.7965,7.12282e-05,7.12282e-05,7.12282e-05
86,1656.94,0.31698,0.46982,0.86329,0.79472,0.98459,0.8806,0.87272,0.20616,0.39801,0.79348,6.39518e-05,6.39518e-05,6.39518e-05
87,1675.58,0.31727,0.46913,0.86412,0.80095,0.98673,0.8808,0.8742,0.20084,0.3953,0.79195,5.71106e-05,5.71106e-05,5.71106e-05
88,1694.09,0.31891,0.45829,0.86488,0.80308,0.98329,0.87718,0.86956,0.20879,0.3927,0.79276,5.07115e-05,5.07115e-05,5.07115e-05
89,1712.59,0.31647,0.46086,0.86634,0.79366,0.98395,0.87945,0.86962,0.21421,0.39689,0.79452,4.47606e-05,4.47606e-05,4.47606e-05
90,1732.08,0.31177,0.45609,0.86339,0.79774,0.98159,0.87732,0.86877,0.20437,0.39994,0.79263,3.9264e-05,3.9264e-05,3.9264e-05
91,1753.56,0.23216,0.39993,0.83195,0.7972,0.97808,0.87841,0.86681,0.22222,0.40665,0.79801,3.4227e-05,3.4227e-05,3.4227e-05
92,1772.23,0.22774,0.39235,0.83075,0.79636,0.97972,0.87822,0.86702,0.21654,0.40543,0.795,2.96546e-05,2.96546e-05,2.96546e-05
93,1790.63,0.22635,0.38825,0.82869,0.8015,0.98103,0.88267,0.87585,0.20043,0.40217,0.79114,2.55513e-05,2.55513e-05,2.55513e-05
94,1812.13,0.22907,0.38896,0.83285,0.80459,0.98102,0.88056,0.87236,0.2068,0.40074,0.79249,2.19212e-05,2.19212e-05,2.19212e-05
95,1830.57,0.22481,0.39042,0.835,0.80426,0.97644,0.88271,0.87399,0.20709,0.40023,0.79225,1.87678e-05,1.87678e-05,1.87678e-05
96,1848.99,0.22183,0.38591,0.82951,0.80369,0.97399,0.8855,0.87579,0.20679,0.39898,0.79297,1.60943e-05,1.60943e-05,1.60943e-05
97,1874.3,0.22393,0.38987,0.82612,0.80366,0.97648,0.88526,0.87657,0.20718,0.39992,0.79262,1.39032e-05,1.39032e-05,1.39032e-05
98,1893.62,0.22226,0.38169,0.82825,0.80489,0.97363,0.88235,0.87456,0.19861,0.39868,0.79064,1.21968e-05,1.21968e-05,1.21968e-05
99,1913.4,0.22182,0.3774,0.82737,0.80252,0.97947,0.88001,0.87174,0.20261,0.40042,0.79148,1.09768e-05,1.09768e-05,1.09768e-05
100,1937.35,0.22019,0.38037,0.82981,0.80068,0.98037,0.87833,0.86996,0.20243,0.40013,0.79153,1.02443e-05,1.02443e-05,1.02443e-05
